name,position,no,team_name,team_league,url
弓立　詩菜,GK,1,東海大学付属福岡高等学校,1部リーグ,https://q-league.net/club/fukuoka-highschool/
細江　乃梨華,DF,2,東海大学付属福岡高等学校,1部リーグ,https://q-league.net/club/fukuoka-highschool/
田中　つばさ,DF,3,東海大学付属福岡高等学校,1部リーグ,https://q-league.net/club/fukuoka-highschool/
前多　祐里奈,DF,4,東海大学付属福岡高等学校,1部リーグ,https://q-league.net/club/fukuoka-highschool/
平良　夢華,DF,5,東海大学付属福岡高等学校,1部リーグ,https://q-league.net/club/fukuoka-highschool/
伊藤　聖菜,DF,6,東海大学付属福岡高等学校,1部リーグ,https://q-league.net/club/fukuoka-highschool/
藤本　夢空,MF,7,東海大学付属福岡高等学校,1部リーグ,https://q-league.net/club/fukuoka-highschool/
朝比　雪華,MF,8,東海大学付属福岡高等学校,1部リーグ,https://q-league.net/club/fukuoka-highschool/
山田　愛実,FW,9,東海大学付属福岡高等学校,1部リーグ,https://q-league.net/club/fukuoka-highschool/
林　南花,DF,10,東海大学付属福岡高等学校,1部リーグ,https://q-league.net/club/fukuoka-highschool/
横田　ひまり,FW,11,東海大学付属福岡高等学校,1部リーグ,https://q-league.net/club/fukuoka-highschool/
西村　妃加,DF,12,東海大学付属福岡高等学校,1部リーグ,https://q-league.net/club/fukuoka-highschool/
津嘉山　礼良,MF,13,東海大学付属福岡高等学校,1部リーグ,https://q-league.net/club/fukuoka-highschool/
井手　穂花,FW,14,東海大学付属福岡高等学校,1部リーグ,https://q-league.net/club/fukuoka-highschool/
楢崎　綾香,MF,15,東海大学付属福岡高等学校,1部リーグ,https://q-league.net/club/fukuoka-highschool/
富沢　侑和,DF,16,東海大学付属福岡高等学校,1部リーグ,https://q-league.net/club/fukuoka-highschool/
伊藤　遥花,GK,17,東海大学付属福岡高等学校,1部リーグ,https://q-league.net/club/fukuoka-highschool/
神田　心未,DF,18,東海大学付属福岡高等学校,1部リーグ,https://q-league.net/club/fukuoka-highschool/
草原　愛莉,FW,19,東海大学付属福岡高等学校,1部リーグ,https://q-league.net/club/fukuoka-highschool/
岐部　桜,MF,20,東海大学付属福岡高等学校,1部リーグ,https://q-league.net/club/fukuoka-highschool/
中谷　百音,MF,21,東海大学付属福岡高等学校,1部リーグ,https://q-league.net/club/fukuoka-highschool/
菅原　菜楠,MF,22,東海大学付属福岡高等学校,1部リーグ,https://q-league.net/club/fukuoka-highschool/
須田　弥美樹,GK,23,東海大学付属福岡高等学校,1部リーグ,https://q-league.net/club/fukuoka-highschool/
田中　結菜,MF,24,東海大学付属福岡高等学校,1部リーグ,https://q-league.net/club/fukuoka-highschool/
岡﨑　愛未,FW,25,東海大学付属福岡高等学校,1部リーグ,https://q-league.net/club/fukuoka-highschool/
重信　捺,DF,26,東海大学付属福岡高等学校,1部リーグ,https://q-league.net/club/fukuoka-highschool/
玉城　風帆,MF,27,東海大学付属福岡高等学校,1部リーグ,https://q-league.net/club/fukuoka-highschool/
藤本　萌空,FW,28,東海大学付属福岡高等学校,1部リーグ,https://q-league.net/club/fukuoka-highschool/
山部　愛凜,MF,29,東海大学付属福岡高等学校,1部リーグ,https://q-league.net/club/fukuoka-highschool/
伊藤　翼,DF,30,東海大学付属福岡高等学校,1部リーグ,https://q-league.net/club/fukuoka-highschool/
梶原　莉乃,MF,31,東海大学付属福岡高等学校,1部リーグ,https://q-league.net/club/fukuoka-highschool/
梶原　愛梨,DF,32,東海大学付属福岡高等学校,1部リーグ,https://q-league.net/club/fukuoka-highschool/
三根　亜澄,MF,33,東海大学付属福岡高等学校,1部リーグ,https://q-league.net/club/fukuoka-highschool/
大島　愛莉,MF,34,東海大学付属福岡高等学校,1部リーグ,https://q-league.net/club/fukuoka-highschool/
森川　楓花,FW,35,東海大学付属福岡高等学校,1部リーグ,https://q-league.net/club/fukuoka-highschool/
森山　絆杏,MF,36,東海大学付属福岡高等学校,1部リーグ,https://q-league.net/club/fukuoka-highschool/
廖　玟淇,GK/FW,1,琉球デイゴス,1部リーグ,https://q-league.net/club/deigos/
町田　茉衣,DF,2,琉球デイゴス,1部リーグ,https://q-league.net/club/deigos/
高田　京香,DF,3,琉球デイゴス,1部リーグ,https://q-league.net/club/deigos/
有吉　優里菜,MF,4,琉球デイゴス,1部リーグ,https://q-league.net/club/deigos/
張　愫心,DF,5,琉球デイゴス,1部リーグ,https://q-league.net/club/deigos/
小池　雪月,MF,6,琉球デイゴス,1部リーグ,https://q-league.net/club/deigos/
青島　雅,DF,7,琉球デイゴス,1部リーグ,https://q-league.net/club/deigos/
杉村　美星,MF,8,琉球デイゴス,1部リーグ,https://q-league.net/club/deigos/
塚八　紗英,MF,9,琉球デイゴス,1部リーグ,https://q-league.net/club/deigos/
富沢　藍那,MF,10,琉球デイゴス,1部リーグ,https://q-league.net/club/deigos/
儀間　綾香,MF,13,琉球デイゴス,1部リーグ,https://q-league.net/club/deigos/
林　煌乃,DF,18,琉球デイゴス,1部リーグ,https://q-league.net/club/deigos/
浅利　真耶,GK,19,琉球デイゴス,1部リーグ,https://q-league.net/club/deigos/
伊井　清乃,DF,20,琉球デイゴス,1部リーグ,https://q-league.net/club/deigos/
ﾀﾞｰｻﾝ ｼｬｰﾘｰﾝ 亜美果,GK,21,琉球デイゴス,1部リーグ,https://q-league.net/club/deigos/
渡辺　樹里,MF,22,琉球デイゴス,1部リーグ,https://q-league.net/club/deigos/
玉城　美優,MF,23,琉球デイゴス,1部リーグ,https://q-league.net/club/deigos/
津曲　和美,GK,1,神村学園高等部女子サッカー部,1部リーグ,https://q-league.net/club/kamimura/
春園　虹天,DF,2,神村学園高等部女子サッカー部,1部リーグ,https://q-league.net/club/kamimura/
茂谷　珠那,DF,3,神村学園高等部女子サッカー部,1部リーグ,https://q-league.net/club/kamimura/
児玉　一穂,DF,4,神村学園高等部女子サッカー部,1部リーグ,https://q-league.net/club/kamimura/
野村　夏鈴,DF,5,神村学園高等部女子サッカー部,1部リーグ,https://q-league.net/club/kamimura/
岡部　光流,MF,6,神村学園高等部女子サッカー部,1部リーグ,https://q-league.net/club/kamimura/
塚本　聖菜,FW,7,神村学園高等部女子サッカー部,1部リーグ,https://q-league.net/club/kamimura/
森田　こころ,DF,8,神村学園高等部女子サッカー部,1部リーグ,https://q-league.net/club/kamimura/
新原　由菜,MF,9,神村学園高等部女子サッカー部,1部リーグ,https://q-league.net/club/kamimura/
上田　彩葉,MF,10,神村学園高等部女子サッカー部,1部リーグ,https://q-league.net/club/kamimura/
原口　鈴音,MF,11,神村学園高等部女子サッカー部,1部リーグ,https://q-league.net/club/kamimura/
椛島　千和,DF,12,神村学園高等部女子サッカー部,1部リーグ,https://q-league.net/club/kamimura/
新屋　奈々,GK,13,神村学園高等部女子サッカー部,1部リーグ,https://q-league.net/club/kamimura/
久保　百果,MF,14,神村学園高等部女子サッカー部,1部リーグ,https://q-league.net/club/kamimura/
成田　夢愛,DF,16,神村学園高等部女子サッカー部,1部リーグ,https://q-league.net/club/kamimura/
上田　麻莉,MF,17,神村学園高等部女子サッカー部,1部リーグ,https://q-league.net/club/kamimura/
西濱　優花,MF,18,神村学園高等部女子サッカー部,1部リーグ,https://q-league.net/club/kamimura/
廣田　凛,DF,19,神村学園高等部女子サッカー部,1部リーグ,https://q-league.net/club/kamimura/
前田　紡,MF,20,神村学園高等部女子サッカー部,1部リーグ,https://q-league.net/club/kamimura/
舟之川　桃果,MF,21,神村学園高等部女子サッカー部,1部リーグ,https://q-league.net/club/kamimura/
中野　結菜,MF,22,神村学園高等部女子サッカー部,1部リーグ,https://q-league.net/club/kamimura/
竹下　礼華,MF,23,神村学園高等部女子サッカー部,1部リーグ,https://q-league.net/club/kamimura/
五十嵐　碧,DF,24,神村学園高等部女子サッカー部,1部リーグ,https://q-league.net/club/kamimura/
西　結来,GK,25,神村学園高等部女子サッカー部,1部リーグ,https://q-league.net/club/kamimura/
尾中　明莉,DF,26,神村学園高等部女子サッカー部,1部リーグ,https://q-league.net/club/kamimura/
一木　知華,MF,27,神村学園高等部女子サッカー部,1部リーグ,https://q-league.net/club/kamimura/
岩下　沙羽,MF,28,神村学園高等部女子サッカー部,1部リーグ,https://q-league.net/club/kamimura/
折田　陽和,DF,29,神村学園高等部女子サッカー部,1部リーグ,https://q-league.net/club/kamimura/
濱田　桃奈,GK,30,神村学園高等部女子サッカー部,1部リーグ,https://q-league.net/club/kamimura/
杉森　望愛,DF,31,神村学園高等部女子サッカー部,1部リーグ,https://q-league.net/club/kamimura/
村滝　るか,DF,32,神村学園高等部女子サッカー部,1部リーグ,https://q-league.net/club/kamimura/
田中　愛子,DF,33,神村学園高等部女子サッカー部,1部リーグ,https://q-league.net/club/kamimura/
橋口　彩羽,MF,34,神村学園高等部女子サッカー部,1部リーグ,https://q-league.net/club/kamimura/
西山　歩海,GK,35,神村学園高等部女子サッカー部,1部リーグ,https://q-league.net/club/kamimura/
安田　美泉,FW,36,神村学園高等部女子サッカー部,1部リーグ,https://q-league.net/club/kamimura/
吉田　歩奈,MF,37,神村学園高等部女子サッカー部,1部リーグ,https://q-league.net/club/kamimura/
山野　蒼空,MF,38,神村学園高等部女子サッカー部,1部リーグ,https://q-league.net/club/kamimura/
渡辺　稚菜,DF,39,神村学園高等部女子サッカー部,1部リーグ,https://q-league.net/club/kamimura/
漆島　祐衣,MF,40,神村学園高等部女子サッカー部,1部リーグ,https://q-league.net/club/kamimura/
松山　みらい,DF,41,神村学園高等部女子サッカー部,1部リーグ,https://q-league.net/club/kamimura/
桑代　心彩,MF,42,神村学園高等部女子サッカー部,1部リーグ,https://q-league.net/club/kamimura/
四元　輝,FW,43,神村学園高等部女子サッカー部,1部リーグ,https://q-league.net/club/kamimura/
原田　真心,MF,44,神村学園高等部女子サッカー部,1部リーグ,https://q-league.net/club/kamimura/
坂元　めい,MF,45,神村学園高等部女子サッカー部,1部リーグ,https://q-league.net/club/kamimura/
中野　美結,MF,46,神村学園高等部女子サッカー部,1部リーグ,https://q-league.net/club/kamimura/
坂本　日和,FW,47,神村学園高等部女子サッカー部,1部リーグ,https://q-league.net/club/kamimura/
関　彩雲,DF,48,神村学園高等部女子サッカー部,1部リーグ,https://q-league.net/club/kamimura/
谷口　絢音,MF,49,神村学園高等部女子サッカー部,1部リーグ,https://q-league.net/club/kamimura/
土山　紗也佳,DF,50,神村学園高等部女子サッカー部,1部リーグ,https://q-league.net/club/kamimura/
中地　沙里,MF,51,神村学園高等部女子サッカー部,1部リーグ,https://q-league.net/club/kamimura/
福永　葵月,MF,52,神村学園高等部女子サッカー部,1部リーグ,https://q-league.net/club/kamimura/
藤本　理杏,MF,53,神村学園高等部女子サッカー部,1部リーグ,https://q-league.net/club/kamimura/
船場　彩乃,DF,54,神村学園高等部女子サッカー部,1部リーグ,https://q-league.net/club/kamimura/
中村　葵,MF,55,神村学園高等部女子サッカー部,1部リーグ,https://q-league.net/club/kamimura/
西　睦月,MF,56,神村学園高等部女子サッカー部,1部リーグ,https://q-league.net/club/kamimura/
黒石　梅,MF,57,神村学園高等部女子サッカー部,1部リーグ,https://q-league.net/club/kamimura/
沖口　琉華,MF,58,神村学園高等部女子サッカー部,1部リーグ,https://q-league.net/club/kamimura/
橋　あんず,MF,59,神村学園高等部女子サッカー部,1部リーグ,https://q-league.net/club/kamimura/
千々和　桃,GK,1,秀岳館高等学校,1部リーグ,https://q-league.net/club/syugakukan/
川添　凛音,FW,2,秀岳館高等学校,1部リーグ,https://q-league.net/club/syugakukan/
橋谷　麻莉,DF,3,秀岳館高等学校,1部リーグ,https://q-league.net/club/syugakukan/
河田　柚奈,DF,4,秀岳館高等学校,1部リーグ,https://q-league.net/club/syugakukan/
積　紫花,DF,5,秀岳館高等学校,1部リーグ,https://q-league.net/club/syugakukan/
鶴野　凛音,MF,6,秀岳館高等学校,1部リーグ,https://q-league.net/club/syugakukan/
吉岡　杏海,MF,7,秀岳館高等学校,1部リーグ,https://q-league.net/club/syugakukan/
松木　琴依,MF,8,秀岳館高等学校,1部リーグ,https://q-league.net/club/syugakukan/
伊藤　桃愛,FW,9,秀岳館高等学校,1部リーグ,https://q-league.net/club/syugakukan/
河田　和佳奈,DF,10,秀岳館高等学校,1部リーグ,https://q-league.net/club/syugakukan/
高橋　昊,MF,11,秀岳館高等学校,1部リーグ,https://q-league.net/club/syugakukan/
與古田　ルナ,GK,12,秀岳館高等学校,1部リーグ,https://q-league.net/club/syugakukan/
上野　鈴華,MF,13,秀岳館高等学校,1部リーグ,https://q-league.net/club/syugakukan/
永薗　叶乃,FW,14,秀岳館高等学校,1部リーグ,https://q-league.net/club/syugakukan/
知念　舞彩,MF,15,秀岳館高等学校,1部リーグ,https://q-league.net/club/syugakukan/
中野　遼,MF,16,秀岳館高等学校,1部リーグ,https://q-league.net/club/syugakukan/
與那覇　花菜,FW,17,秀岳館高等学校,1部リーグ,https://q-league.net/club/syugakukan/
塩川　心琴,MF,18,秀岳館高等学校,1部リーグ,https://q-league.net/club/syugakukan/
浦里　心結,DF,19,秀岳館高等学校,1部リーグ,https://q-league.net/club/syugakukan/
安次嶺　咲空,MF,20,秀岳館高等学校,1部リーグ,https://q-league.net/club/syugakukan/
上野　りん,MF,21,秀岳館高等学校,1部リーグ,https://q-league.net/club/syugakukan/
大村谷　星来,FW,22,秀岳館高等学校,1部リーグ,https://q-league.net/club/syugakukan/
林　莉帆,MF,23,秀岳館高等学校,1部リーグ,https://q-league.net/club/syugakukan/
永野　詩依梛,MF,24,秀岳館高等学校,1部リーグ,https://q-league.net/club/syugakukan/
三池　華鈴,MF,25,秀岳館高等学校,1部リーグ,https://q-league.net/club/syugakukan/
田中　文渚,MF,26,秀岳館高等学校,1部リーグ,https://q-league.net/club/syugakukan/
下玉利　ゆらら,MF,27,秀岳館高等学校,1部リーグ,https://q-league.net/club/syugakukan/
上　紅愛,MF,28,秀岳館高等学校,1部リーグ,https://q-league.net/club/syugakukan/
浦田　花音,MF,29,秀岳館高等学校,1部リーグ,https://q-league.net/club/syugakukan/
立和田　紗佳,DF,30,秀岳館高等学校,1部リーグ,https://q-league.net/club/syugakukan/
田上　未希,GK,1,国見FCレディース,1部リーグ,https://q-league.net/club/kunimi-fc/
田川　かすみ,DF,2,国見FCレディース,1部リーグ,https://q-league.net/club/kunimi-fc/
珠林　來々,DF,3,国見FCレディース,1部リーグ,https://q-league.net/club/kunimi-fc/
橋本　歩愛,MF,4,国見FCレディース,1部リーグ,https://q-league.net/club/kunimi-fc/
本多　萌百,DF,5,国見FCレディース,1部リーグ,https://q-league.net/club/kunimi-fc/
岡﨑　亜美伽,DF,6,国見FCレディース,1部リーグ,https://q-league.net/club/kunimi-fc/
松村　真生,DF,7,国見FCレディース,1部リーグ,https://q-league.net/club/kunimi-fc/
宮園　華,DF,8,国見FCレディース,1部リーグ,https://q-league.net/club/kunimi-fc/
山下　夢生,MF,9,国見FCレディース,1部リーグ,https://q-league.net/club/kunimi-fc/
中村　怜愛,FW,10,国見FCレディース,1部リーグ,https://q-league.net/club/kunimi-fc/
折原　こころ,FW,11,国見FCレディース,1部リーグ,https://q-league.net/club/kunimi-fc/
正木　唯海,GK,12,国見FCレディース,1部リーグ,https://q-league.net/club/kunimi-fc/
庄司　雅,FW,13,国見FCレディース,1部リーグ,https://q-league.net/club/kunimi-fc/
柴田　陽菜,MF,14,国見FCレディース,1部リーグ,https://q-league.net/club/kunimi-fc/
太田　芽依,DF,15,国見FCレディース,1部リーグ,https://q-league.net/club/kunimi-fc/
梅崎　彩芭,MF,16,国見FCレディース,1部リーグ,https://q-league.net/club/kunimi-fc/
中島　歩夏,DF,17,国見FCレディース,1部リーグ,https://q-league.net/club/kunimi-fc/
桜井　みゆき,MF,18,国見FCレディース,1部リーグ,https://q-league.net/club/kunimi-fc/
田村　華永,MF,19,国見FCレディース,1部リーグ,https://q-league.net/club/kunimi-fc/
井原　遥香,DF,20,国見FCレディース,1部リーグ,https://q-league.net/club/kunimi-fc/
大川内　結香,DF,22,国見FCレディース,1部リーグ,https://q-league.net/club/kunimi-fc/
大山　姫星,GK,1,柳ヶ浦高等学校女子サッカー部,1部リーグ,https://q-league.net/club/yanagigaura/
田中　莉那,DF,2,柳ヶ浦高等学校女子サッカー部,1部リーグ,https://q-league.net/club/yanagigaura/
能田　未愛,DF,3,柳ヶ浦高等学校女子サッカー部,1部リーグ,https://q-league.net/club/yanagigaura/
竹田　美佐也,DF,4,柳ヶ浦高等学校女子サッカー部,1部リーグ,https://q-league.net/club/yanagigaura/
高松　芹羽,DF,5,柳ヶ浦高等学校女子サッカー部,1部リーグ,https://q-league.net/club/yanagigaura/
宝珠　咲羽,MF,6,柳ヶ浦高等学校女子サッカー部,1部リーグ,https://q-league.net/club/yanagigaura/
園　ひなの,MF,7,柳ヶ浦高等学校女子サッカー部,1部リーグ,https://q-league.net/club/yanagigaura/
江﨑　悠乃,MF,8,柳ヶ浦高等学校女子サッカー部,1部リーグ,https://q-league.net/club/yanagigaura/
清水　李々那,FW,9,柳ヶ浦高等学校女子サッカー部,1部リーグ,https://q-league.net/club/yanagigaura/
柴藤　由奈,FW,10,柳ヶ浦高等学校女子サッカー部,1部リーグ,https://q-league.net/club/yanagigaura/
松田　吏真,MF,11,柳ヶ浦高等学校女子サッカー部,1部リーグ,https://q-league.net/club/yanagigaura/
大野　菜緒,GK,12,柳ヶ浦高等学校女子サッカー部,1部リーグ,https://q-league.net/club/yanagigaura/
髙田　紋叶,DF,13,柳ヶ浦高等学校女子サッカー部,1部リーグ,https://q-league.net/club/yanagigaura/
村上　凜果,FW,14,柳ヶ浦高等学校女子サッカー部,1部リーグ,https://q-league.net/club/yanagigaura/
普天間　結陽,DF,15,柳ヶ浦高等学校女子サッカー部,1部リーグ,https://q-league.net/club/yanagigaura/
東　美月,MF,16,柳ヶ浦高等学校女子サッカー部,1部リーグ,https://q-league.net/club/yanagigaura/
羽多野　葵唯,MF,17,柳ヶ浦高等学校女子サッカー部,1部リーグ,https://q-league.net/club/yanagigaura/
榮森　結菜,MF,18,柳ヶ浦高等学校女子サッカー部,1部リーグ,https://q-league.net/club/yanagigaura/
中溝　桃,DF,19,柳ヶ浦高等学校女子サッカー部,1部リーグ,https://q-league.net/club/yanagigaura/
門馬　有琉,MF,20,柳ヶ浦高等学校女子サッカー部,1部リーグ,https://q-league.net/club/yanagigaura/
伊藤　白羽,DF,21,柳ヶ浦高等学校女子サッカー部,1部リーグ,https://q-league.net/club/yanagigaura/
高田　実夢,FW,22,柳ヶ浦高等学校女子サッカー部,1部リーグ,https://q-league.net/club/yanagigaura/
山下　絢香,MF,23,柳ヶ浦高等学校女子サッカー部,1部リーグ,https://q-league.net/club/yanagigaura/
桑原　歩果,MF,24,柳ヶ浦高等学校女子サッカー部,1部リーグ,https://q-league.net/club/yanagigaura/
北横山　愛葵,DF,25,柳ヶ浦高等学校女子サッカー部,1部リーグ,https://q-league.net/club/yanagigaura/
山田　結月,MF,26,柳ヶ浦高等学校女子サッカー部,1部リーグ,https://q-league.net/club/yanagigaura/
山下　佳梨,MF,27,柳ヶ浦高等学校女子サッカー部,1部リーグ,https://q-league.net/club/yanagigaura/
坂本　穂乃佳,MF,28,柳ヶ浦高等学校女子サッカー部,1部リーグ,https://q-league.net/club/yanagigaura/
松原　唯衣,MF,29,柳ヶ浦高等学校女子サッカー部,1部リーグ,https://q-league.net/club/yanagigaura/
山口　咲,FW,30,柳ヶ浦高等学校女子サッカー部,1部リーグ,https://q-league.net/club/yanagigaura/
楠田　遥風,FW,31,柳ヶ浦高等学校女子サッカー部,1部リーグ,https://q-league.net/club/yanagigaura/
麻生　柚,MF,32,柳ヶ浦高等学校女子サッカー部,1部リーグ,https://q-league.net/club/yanagigaura/
村上　安奈,DF,33,柳ヶ浦高等学校女子サッカー部,1部リーグ,https://q-league.net/club/yanagigaura/
小林　萌菜美,DF,34,柳ヶ浦高等学校女子サッカー部,1部リーグ,https://q-league.net/club/yanagigaura/
馬場　八千流,FW,35,柳ヶ浦高等学校女子サッカー部,1部リーグ,https://q-league.net/club/yanagigaura/
松崎　裡愛,MF,36,柳ヶ浦高等学校女子サッカー部,1部リーグ,https://q-league.net/club/yanagigaura/
木下　あかね,FW,37,柳ヶ浦高等学校女子サッカー部,1部リーグ,https://q-league.net/club/yanagigaura/
木戸　うみ,DF,38,柳ヶ浦高等学校女子サッカー部,1部リーグ,https://q-league.net/club/yanagigaura/
小泉　碧美,MF,39,柳ヶ浦高等学校女子サッカー部,1部リーグ,https://q-league.net/club/yanagigaura/
松山　七菜,FW,40,柳ヶ浦高等学校女子サッカー部,1部リーグ,https://q-league.net/club/yanagigaura/
山崎　風輝,MF,41,柳ヶ浦高等学校女子サッカー部,1部リーグ,https://q-league.net/club/yanagigaura/
永野　紗耶菜,MF,42,柳ヶ浦高等学校女子サッカー部,1部リーグ,https://q-league.net/club/yanagigaura/
樽口　文音,GK,43,柳ヶ浦高等学校女子サッカー部,1部リーグ,https://q-league.net/club/yanagigaura/
木本　那麻,MF,44,柳ヶ浦高等学校女子サッカー部,1部リーグ,https://q-league.net/club/yanagigaura/
楠　彩由菜,DF,45,柳ヶ浦高等学校女子サッカー部,1部リーグ,https://q-league.net/club/yanagigaura/
堀　菜々美,FW,46,柳ヶ浦高等学校女子サッカー部,1部リーグ,https://q-league.net/club/yanagigaura/
広瀬　涼羽,MF,47,柳ヶ浦高等学校女子サッカー部,1部リーグ,https://q-league.net/club/yanagigaura/
新里　ひより,MF,48,柳ヶ浦高等学校女子サッカー部,1部リーグ,https://q-league.net/club/yanagigaura/
三村　夢芽,FW,49,柳ヶ浦高等学校女子サッカー部,1部リーグ,https://q-league.net/club/yanagigaura/
田淵　聖那,MF,50,柳ヶ浦高等学校女子サッカー部,1部リーグ,https://q-league.net/club/yanagigaura/
永松　真樹,GK,1,ヴェルスパ大分レディース,1部リーグ,https://q-league.net/club/verspah-oita/
渡邊　恵美子,DF,2,ヴェルスパ大分レディース,1部リーグ,https://q-league.net/club/verspah-oita/
本城　紗也菜,DF,3,ヴェルスパ大分レディース,1部リーグ,https://q-league.net/club/verspah-oita/
竹内　志貴,DF,4,ヴェルスパ大分レディース,1部リーグ,https://q-league.net/club/verspah-oita/
横野　紗羽,FW,6,ヴェルスパ大分レディース,1部リーグ,https://q-league.net/club/verspah-oita/
